Comunidades autónomas;Tipo de dato;Periodo;Total
13 Madrid, Comunidad de;Dato base;2022M12;440.604,00
13 Madrid, Comunidad de;Dato base;2022M11;540.723,00
13 Madrid, Comunidad de;Dato base;2022M10;688.660,00
13 Madrid, Comunidad de;Dato base;2022M09;602.463,00
13 Madrid, Comunidad de;Dato base;2022M08;447.380,00
13 Madrid, Comunidad de;Dato base;2022M07;626.638,00
13 Madrid, Comunidad de;Dato base;2022M06;605.892,00
13 Madrid, Comunidad de;Dato base;2022M05;571.014,00
13 Madrid, Comunidad de;Dato base;2022M04;546.380,00
13 Madrid, Comunidad de;Dato base;2022M03;447.532,00
13 Madrid, Comunidad de;Dato base;2022M02;282.914,00
13 Madrid, Comunidad de;Dato base;2022M01;247.982,00
