,fecha,trip_minutes,unlock_date,lon_unlock,lat_unlock,station_unlock,dock_unlock,unlock_station_name,lock_date,lon_lock,lat_lock,station_lock,dock_lock,lock_station_name
0,2022-01-01,16.28,2022-01-01 00:02:20,-3.6714166,40.4318611,200.0,3.0,Avenida de los Toreros,2022-01-01 00:18:37,-3.688398,40.419752,64,4.0,Plaza de la Independencia
1,2022-01-01,7.1,2022-01-01 00:07:53,-3.6894193,40.4166834,69.0,5.0,Antonio Maura,2022-01-01 00:14:59,-3.6993465,40.4309524,169,17.0,Manuel Silvela
2,2022-01-01,0.48,2022-01-01 00:09:21,-3.688822,40.409808,73.0,21.0,Puerta del Ángel Caído,2022-01-01 00:09:50,-3.688822,40.409808,73,21.0,Puerta del Ángel Caído
3,2022-01-01,6.62,2022-01-01 00:09:52,-3.6653055,40.426,192.0,22.0,Marqués de Zafra,2022-01-01 00:16:29,-3.6657777,40.4186666,190,17.0,Parque Roma
4,2022-01-01,8.07,2022-01-01 00:09:57,-3.6983055,40.3962222,183.0,3.0,Jaime el Conquistador,2022-01-01 00:18:01,-3.7025024,40.4101564,47,24.0,Jesús y María
5,2022-01-01,6.48,2022-01-01 00:10:00,-3.71183,40.4168,40.0,8.0,Plaza Ramales,2022-01-01 19:16:29,-3.71183,40.4168,40,8.0,Plaza Ramales
6,2022-01-01,9.72,2022-01-01 00:10:06,-3.697895,40.4222862,62.0,22.0,Augusto Figueroa,2022-01-01 00:19:49,-3.7007111,40.4083061,57,22.0,Plaza de Lavapiés
7,2022-01-01,15.02,2022-01-01 00:10:53,-3.688822,40.409808,73.0,27.0,Puerta del Ángel Caído,2022-01-01 00:25:54,-3.6927821,40.4415974,158,15.0,Plaza de San Juan de la Cruz
8,2022-01-01,28.12,2022-01-01 00:11:29,-3.6879154,40.4334087,167.0,11.0,Castellana 42,2022-01-01 00:39:36,-3.70017,40.38895,221,16.0,Glorieta de Cádiz
9,2022-01-01,0.23,2022-01-01 00:12:48,-3.6751352,40.4071304,80.0,24.0,Puerta de Mariano de Cavia,2022-01-01 00:13:02,-3.6751352,40.4071304,80,24.0,Puerta de Mariano de Cavia
10,2022-01-01,8.88,2022-01-01 00:12:58,-3.708439,40.4338516,168.0,5.0,Fernando el Católico,2022-01-01 00:21:51,-3.6996502,40.4207773,19,13.0,Plaza de Pedro Zerolo
11,2022-01-01,0.22,2022-01-01 00:13:06,-3.6751352,40.4071304,80.0,24.0,Puerta de Mariano de Cavia,2022-01-01 00:13:19,-3.6751352,40.4071304,80,24.0,Puerta de Mariano de Cavia
12,2022-01-01,14.43,2022-01-01 00:13:23,-3.6766111,40.41825,189.0,4.0,Retiro-Ibiza,2022-01-01 00:27:49,-3.7088337,40.4112744,43,5.0,Plaza de la Cebada
13,2022-01-01,6.82,2022-01-01 00:13:24,-3.6751352,40.4071304,80.0,22.0,Puerta de Mariano de Cavia,2022-01-01 00:20:13,-3.6959166,40.4044722,176,3.0,Batalla del Salado
14,2022-01-01,8.63,2022-01-01 00:13:26,-3.7036825,40.4146755,38.0,22.0,Jacinto Benavente,2022-01-01 00:22:04,-3.7043611,40.401,178,6.0,Paseo de la Esperanza
15,2022-01-01,0.05,2022-01-01 00:13:32,-3.6956178,40.4132798,31.0,24.0,Huertas,2022-01-01 00:13:35,-3.6956178,40.4132798,31,24.0,Huertas
16,2022-01-01,9.8,2022-01-01 00:14:06,-3.6956178,40.4132798,31.0,21.0,Huertas,2022-01-01 00:23:54,-3.7095084,40.4156057,10,9.0,Plaza de San Miguel
17,2022-01-01,59.5,2022-01-01 00:14:25,-3.7074453,40.4262383,16.0,2.0,San Vicente Ferrer,2022-01-01 20:13:55,-3.716591,40.398247,220,21.0,Marqués de Vadillo
18,2022-01-01,24.03,2022-01-01 00:15:07,-3.6653055,40.426,192.0,2.0,Marqués de Zafra,2022-01-01 01:39:09,-3.6590555,40.4311944,196,5.0,Puente de Ventas
19,2022-01-01,3.35,2022-01-01 00:15:11,-3.700423,40.4266828,58.0,15.0,Barceló,2022-01-01 00:18:32,-3.7104417,40.4273264,14,20.0,Conde Duque
